2021-11-15 14:52:48,453 DEBUG     Final result is <POINTER(ISpeechObjectToken) ptr=0x1f02b9a8980 at 1f02b87b748>
2021-11-15 14:52:48,453 DEBUG     Release <POINTER(IDispatch) ptr=0x1f02b9a8980 at 1f02b87b448>
2021-11-15 14:52:48,453 DEBUG     Release <POINTER(ITypeInfo) ptr=0x1f02b0af9b0 at 1f02b87b8c8>
2021-11-15 14:52:48,453 DEBUG     Release <POINTER(ITypeLib) ptr=0x1f02ad779f0 at 1f02b87b9c8>
2021-11-15 14:52:48,453 DEBUG     Release <POINTER(IDispatch) ptr=0x1f02b9a8980 at 1f02b87b7c8>
2021-11-15 14:52:48,453 DEBUG     unimplemented method _ISpeechVoiceEvents_VoiceChange called
2021-11-15 14:52:48,454 DEBUG     Release <POINTER(ISpeechObjectToken) ptr=0x1f02b9a8980 at 1f02b87b748>
2021-11-15 14:52:48,454 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,454 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,454 DEBUG     unimplemented method _ISpeechVoiceEvents_Sentence called
2021-11-15 14:52:48,454 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,454 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,454 DEBUG     unimplemented method _ISpeechVoiceEvents_Phoneme called
2021-11-15 14:52:48,454 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,454 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,454 DEBUG     unimplemented method _ISpeechVoiceEvents_Viseme called
2021-11-15 14:52:48,455 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.Release() -> 1
2021-11-15 14:52:48,455 DEBUG     <comtypes.client._events.CreateEventReceiver.<locals>.Sink object at 0x000001F02B5FC4A8>.AddRef() -> 2
2021-11-15 14:52:48,455 DEBUG     unimplemented method _ISpeechVoiceEvents_Word called
